event_id,ticker,date,title,call_time_gmt,timing,mgmt_tone,remarks_tone,answers_tone,analyst_tone,mgmt_pct_negative,tone_change,ret_1d,abn_1d,ret_5d,abn_5d,ret_10d,abn_10d
1,AAPL,2016-01-26,Q1 2016 Apple Inc Earnings Call,22.0,after close,,,,,,,-0.06570649352675828,-0.04392295800446444,-0.05510549894184891,-0.04400142884350178,-0.044850030132209784,0.020590371889904646
0,AAPL,2016-04-26,Q2 2016 Apple Inc Earnings Call,21.0,after close,0.25816116665139605,0.3256322431114379,0.18091841704886535,-0.0416290129241706,0.12218649517684887,,-0.06257785798899995,-0.05743501651803051,-0.08787733960124544,-0.06229378556987586,-0.0992928962292784,-0.08325455443047725
2,AAPL,2016-07-26,Q3 2016 Apple Inc Earnings Call,21.0,after close,,,,,,,0.06496298615994656,0.059139118460872275,0.08079028972632618,0.07537347852951237,0.13167935575136513,0.10909050057287817
3,AAPL,2016-10-25,Q4 2016 Apple Inc Earnings Call,21.0,after close,,,,,,,-0.02249474263392659,-0.016224181515231195,-0.05716710727872343,-0.0325958413499684,-0.055981330620816006,-0.038963942259589435
5,AAPL,2017-01-31,Q1 2017 Apple Inc Earnings Call,22.0,after close,,,,,,,0.06098062140071403,0.056018750554878816,0.08388940908735587,0.07330483235568797,0.11747360740747181,0.0875918515742864
6,AAPL,2017-05-02,Q2 2017 Apple Inc Earnings Call,21.0,after close,,,,,,,-0.003050396934377475,0.0006934794114337173,0.0439293301705701,0.03979180832761231,0.058312854583564055,0.04609046306836806
4,AAPL,2017-08-01,Q3 2017 Apple Inc Earnings Call,21.0,after close,,,,,,,0.047250931970110654,0.04729651451570893,0.06684445491576141,0.06566260814842928,0.08120346488148034,0.0859072928725545
7,AAPL,2017-11-02,Q4 2017 Apple Inc Earnings Call,21.0,after close,,,,,,,0.026113731701625564,0.018742109552369435,0.04621963647749694,0.040991017262956175,0.021444627150881024,0.009776600528392354
8,AAPL,2018-02-01,Q1 2018 Apple Inc Earnings Call,22.0,after close,,,,,,,-0.04339009449217768,-0.023770216686759937,-0.07527712679121523,0.007137069834600163,0.035256257189352214,0.05278024077430854
10,AAPL,2018-05-01,Q2 2018 Apple Inc Earnings Call,21.0,after close,,,,,,,0.04417527640890784,0.048354430234628376,0.10023676027444228,0.08113629282027812,0.10679474958100532,0.07581186123086625
