event_id,ticker,date,title,format,call_time_gmt,timing,n_sentences,mgmt_tone,remarks_tone,answers_tone,analyst_tone,mgmt_pct_negative,tone_change,ret_1d,abn_1d,ret_5d,abn_5d,ret_10d,abn_10d
14,AAPL,2019-07-30,Q3 2019 Apple Inc Earnings Call,brief,21.0,after close,192,,,0.30717585614224624,0.02840407675474274,0.03496503496503497,,0.020404322360359828,0.03227222836783383,-0.05642302089878115,-0.003200749935349134,0.004713091220197585,0.03580598513897082
15,AAPL,2019-10-30,Q4 2019 Apple Inc Earnings Call,brief,21.0,after close,197,,,0.2544466230127183,0.1662695837399826,0.050359712230215826,,0.022609630668148473,0.024008973675201495,0.05746943269421978,0.044626264963016915,0.09045481361115382,0.06900496306478687
17,AAPL,2020-01-28,Q1 2020 Apple Inc Earnings Call,brief,22.0,after close,213,,,0.24448304624667952,0.17150469655171036,0.06293706293706294,,0.020932340780152936,0.020341115604692428,0.0036513198822196724,-0.01773993048177025,0.008431200733139299,-0.03140412847225105
16,AAPL,2020-04-30,Q2 2020 Apple Inc Earnings Call,brief,21.0,after close,179,,,0.17057747384116276,0.08847944173547957,0.08208955223880597,,-0.016099385183560022,0.01591569052251518,0.03383244388293738,0.023695783087211097,0.056425904897291046,0.05033224175480755
18,AAPL,2020-07-30,Q3 2020 Apple Inc Earnings Call,brief,21.0,after close,193,,,0.18535732177644967,0.11454595992451205,0.104,,0.104688587894604,0.0898167714004583,0.18414071841781499,0.13500300588526892,0.19781018929962357,0.15486547755411362
20,AMD,2016-01-19,Q4 2015 Advanced Micro Devices Inc Earnings Call,full,22.0,after close,358,0.3171892656807925,0.24111322032287716,0.35809036533558564,0.026828646013099287,0.0979020979020979,,-0.07692307692307687,-0.07574811321544495,0.06153846153846154,0.04127472773563334,0.02051282051282044,0.011578166728940298
19,AMD,2016-04-21,Q1 2016 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,380,0.27518329894451726,0.22560976702846924,0.3008448919363539,0.1274398542009294,0.08139534883720931,-0.04200596673627521,0.5229007633587786,0.5309195741090021,0.3778625954198471,0.4062902584098065,0.3969465648854962,0.4432072554108183
21,AMD,2016-07-21,Q2 2016 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,341,0.3628355097064277,0.36445421527023425,0.3620311839604369,0.041030260203406214,0.07053941908713693,0.08765221076191043,0.11877394636015337,0.11359839017906892,0.30651340996168597,0.290533575994516,0.23946360153256707,0.221262592489484
22,AMD,2016-10-20,Q3 2016 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,272,0.3860423544000061,0.4047893475810135,0.3665743230197292,0.15094653105673692,0.08018867924528301,0.02320684469357842,-0.06321839080459779,-0.06618869387972937,0.02155172413793105,0.026485089511321114,-0.03735632183908044,-0.002364740793785791
23,AMD,2017-01-31,Q4 2016 Advanced Micro Devices Inc Earnings Call,full,22.0,after close,311,0.3364051027074938,0.27475400155041524,0.3799235270536669,0.09180007607357789,0.1206896551724138,-0.04963725169251232,0.1629701060752171,0.1580082352293819,0.2815814850530376,0.2709969083213697,0.278688524590164,0.2488067687569786
25,AMD,2017-05-01,Q1 2017 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,341,0.32099290568631417,0.3219823909563605,0.32044179996628835,0.036719334816658185,0.08130081300813008,-0.01541219702117963,-0.2422907488986783,-0.24290963702976853,-0.262848751835536,-0.26466437627280515,-0.1615271659324522,-0.17105993615140758
24,AMD,2017-07-25,Q2 2017 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,364,0.34399004887413,0.3385933299318494,0.3468196798871095,0.023529697357245336,0.08865248226950355,0.022997143187815816,0.04606661941885193,0.0444166197886644,-0.02834868887313957,-0.020671103656457523,-0.0708717221828491,-0.06436691000423
26,AMD,2017-10-24,Q3 2017 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,342,0.42469424768492126,0.4287759790473341,0.4225472098006463,0.03034285646982682,0.056818181818181816,0.08070419881079127,-0.13473684210526315,-0.12950225780585967,-0.2287719298245614,-0.24835836819744506,-0.15438596491228063,-0.1800511010860274
28,AMD,2018-01-30,Q4 2017 Advanced Micro Devices Inc Earnings Call,full,22.0,after close,368,0.3623698684353287,0.442678167565871,0.3102650791184888,0.06466137332289101,0.09025270758122744,-0.062324379249592554,0.06759906759906764,0.06638325883979834,-0.09479409479409473,-0.05607732720075631,-0.08469308469308467,-0.03214715210685426
27,AMD,2018-04-25,Q1 2018 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,380,0.36482531178499694,0.4388072772118717,0.31726547686772033,0.07788104029878239,0.05016722408026756,0.0024554433496682404,0.13697219361482982,0.12056097073108862,0.12976313079299695,0.11589059058536133,0.2306900102986611,0.1826913823129961
29,AMD,2018-07-25,Q2 2018 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,358,0.44711510336237287,0.6053777854006815,0.3617599490046334,0.07941918700401272,0.040145985401459854,0.08228979157737593,0.1433022519191436,0.15339524653834813,0.1514019408973173,0.17976091495306945,0.21993777071263354,0.22547342705997764
30,AMD,2018-10-24,Q3 2018 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,363,0.315985651363162,0.38768669586077487,0.2723415373211368,-0.014565938868774818,0.1274131274131274,-0.1311294519992109,-0.15445374486819907,-0.18398780948109916,-0.2009654146131894,-0.2287494451577332,-0.04168499158907457,-0.10672777257694699
32,AMD,2019-01-29,Q4 2018 Advanced Micro Devices Inc Earnings Call,full,22.5,after close,383,0.3555524626432095,0.43113021189001977,0.2909765376538463,-0.023158350535151032,0.10921501706484642,0.03956681128004752,0.19948051948051937,0.17745666472480082,0.21090903896103907,0.15772540013483272,0.18545454545454554,0.13048668330653324
31,AMD,2019-04-30,Q1 2019 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,306,0.2731616895935874,0.25421070952434094,0.2879671427726862,0.04118840315212042,0.14473684210526316,-0.08239077304962211,-0.029677887429529037,-0.024026522983126464,-0.035106733083848485,-0.018846816171582126,-0.011219652957642157,0.033361262463655006
33,AMD,2019-07-30,Q2 2019 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,368,0.287335157256166,0.24880063061602414,0.31203677689728254,0.027931695280130953,0.12109375,0.014173467662578598,-0.10097425748373956,-0.08910635147626556,-0.1479184572754194,-0.0946961863119874,-0.05196333191506741,-0.020870437996294178
34,AMD,2019-10-29,Q3 2019 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,369,0.36391128920195753,0.4009419236871365,0.3452980073178729,0.11914688610088299,0.05985915492957746,0.07657613194579155,0.003027611354151194,-0.0002503097488850692,0.0944596758843379,0.07539081678263582,0.11141386955537014,0.08613369111978786
36,AMD,2020-01-28,Q4 2019 Advanced Micro Devices Inc Earnings Call,full,22.5,after close,390,0.3758232140837647,0.493234372115694,0.3072234363572442,0.04385359716791384,0.0851063829787234,0.011911924881807145,-0.0597664963341874,-0.06035772150964791,-0.02137340236242624,-0.042764652726416164,0.06471403254925856,0.024878703343868214
35,AMD,2020-04-28,Q1 2020 Advanced Micro Devices Inc Earnings Call,full,21.5,after close,404,0.2999072984206982,0.4064881359457527,0.24234224713711258,0.04228441768068949,0.10069444444444445,-0.07591591566306649,-0.03332729358051867,-0.0689905259628012,-0.059809027555720706,-0.08320539768200297,-0.03152585233384442,-0.07739384708831643
37,AMD,2020-07-28,Q2 2020 Advanced Micro Devices Inc Earnings Call,full,21.0,after close,386,0.40424795910337213,0.48530587778475726,0.36574544772971423,0.13496054932065718,0.07796610169491526,0.10434066068267395,0.12542515714502067,0.1118845525057286,0.2578020964679473,0.2059778874787368,0.1371098337951513,0.10050848976622917
39,AMZN,2016-01-28,Q4 2015 Amazon.com Inc Earnings Call,full,22.0,after close,373,0.3221092337248413,0.32531257072831826,0.32068184003417277,0.03635715260269477,0.08243727598566308,,-0.07609975261886215,-0.09990220027673213,-0.1559612335611389,-0.15660025893847473,-0.2070197119201591,-0.15380086287086292
38,AMZN,2016-04-28,Q1 2016 Amazon.com Inc Earnings Call,full,21.0,after close,400,0.29299208769948476,0.32630587206222117,0.28378339933905355,0.04197811589814549,0.044585987261146494,-0.029117146025356533,0.0956644966777409,0.10189308553649568,0.09483393189368772,0.11318874383722555,0.19257473920265777,0.20671747781956407
40,AMZN,2016-07-28,Q2 2016 Amazon.com Inc Earnings Call,full,21.5,after close,282,0.386415882386902,0.3684610420499336,0.3908293626931959,0.06764608212762464,0.026905829596412557,0.09342379468741724,0.008238015869534099,0.006851026389897097,0.0108423156251376,0.008656076290799897,0.024753863716012292,0.010511340508385869
41,AMZN,2016-10-27,Q3 2016 Amazon.com Inc Earnings Call,full,21.5,after close,241,0.28817611313544406,-0.05081409003053393,0.3143963498444147,0.02561871045390549,0.02564102564102564,-0.09823976925145794,-0.0513710088109941,-0.046411218794248366,-0.06272295437319075,-0.03251571535428455,-0.09284420229808776,-0.09146949927938952
43,AMZN,2017-02-02,Q4 2016 Amazon.com Inc Earnings Call,full,22.5,after close,260,0.286273873474107,-0.04080547299236059,0.3232021867848372,0.05890721072144103,0.028985507246376812,-0.0019022396613370685,-0.035418774421066335,-0.040842610328654994,-0.022132301606538896,-0.03614528522448501,0.004988395666574386,-0.026717310450558918
42,AMZN,2017-04-27,Q1 2017 Amazon.com Inc Earnings Call,full,21.5,after close,262,0.28883701265042666,0.061196515802294016,0.3166597400429762,0.10553825437091291,0.039603960396039604,0.002563139176319673,0.007197440018307022,0.00741732614926105,0.02085196094834396,0.016487575906088736,0.031838661382877165,0.020759030794096578
44,AMZN,2017-07-27,Q2 2017 Amazon.com Inc Earnings Call,full,21.5,after close,188,0.33839685098630273,-0.04590983342911516,0.3797837246925785,0.11437428736297245,0.034722222222222224,0.04955983833587607,-0.0248183766730401,-0.023641701414324312,-0.05648185181644361,-0.04992452629230815,-0.08516254015296365,-0.05925923336825589
45,AMZN,2017-10-26,Q3 2017 Amazon.com Inc Earnings Call,full,21.5,after close,220,0.3016441851865091,-0.047787905271564214,0.33241179063564763,0.0872052642417715,0.017341040462427744,-0.03675266579979364,0.13216371247816916,0.11012698623044881,0.12524292635634504,0.10111978027717239,0.16114271785938228,0.13166482182056405
47,AMZN,2018-02-01,Q4 2017 Amazon.com Inc Earnings Call,full,22.5,after close,237,0.3086899938825213,-0.030394784226599667,0.34568106058533443,0.07771335019626552,0.06557377049180328,0.007045808696012179,0.02874097194244607,0.04836084974786381,-0.028417266187050316,0.05399693043876508,0.05162590647482013,0.06914989005977645
46,AMZN,2018-04-26,Q1 2018 Amazon.com Inc Earnings Call,full,21.5,after close,217,0.3482388738256666,-0.05008721983592425,0.3849268035050237,0.026845073172201712,0.03614457831325301,0.03954887994314532,0.03600887731188318,0.03585159689299666,0.03565311101114088,0.03994186584282022,0.06002793047319388,0.019811200416237185
48,AMZN,2018-07-26,Q2 2018 Amazon.com Inc Earnings Call,full,21.5,after close,245,0.2879906018677446,-0.05248649238741824,0.3144721536431462,0.1536535852972199,0.041237113402061855,-0.060248271957921984,0.005127223451327323,0.019742305050035602,0.014563028761061858,0.02086576684025998,0.050066382743362725,0.04502324719216455
